,Unnamed: 0,prop_name,completion_year,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate,count
3829,3829,Serini Melawati,2018.0,1500,room,Kuala Lumpur,Taman Melawati,Studio,1,,1.0,633.0,0.0,6.0,1.0
3830,3830,The Era,2021.0,2800,house,Kuala Lumpur,Segambut,Service Residence,3,2.0,2.0,1023.0,2.0,9.0,29.0
3831,3831,Bayu Sentul Condominium,2015.0,1800,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1300.0,1.0,9.0,18.0
3832,3832,Tivoli Villas,1993.0,2200,room,Kuala Lumpur,Bangsar,Condominium,1,1.0,1.0,650.0,2.0,10.0,10.0
3833,3833,Majestic Maxim,2021.0,2400,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,1100.0,2.0,8.0,213.0
3834,3834,Rica Residence Sentul,2021.0,1700,house,Kuala Lumpur,Sentul,Condominium,2,,1.0,700.0,1.0,10.0,13.0
3835,3835,Desa Pandan Apartment,,1500,house,Kuala Lumpur,KLCC,Apartment,3,2.0,2.0,900.0,1.0,8.0,2.0
3836,3836,Perumahan Penjawat Awam 1 Malaysia (PPA1M) Bukit Jalil,2018.0,1950,house,Kuala Lumpur,Bukit Jalil,Apartment,4,,2.0,1434.0,2.0,5.0,20.0
3837,3837,Platinum Hill PV 5,2006.0,1600,house,Kuala Lumpur,Setapak,Condominium,4,1.0,2.0,1272.0,2.0,13.0,13.0
3838,3838,DEX Suites 1.0 (Tower A) @ Kiara East,2017.0,1800,house,Kuala Lumpur,Jalan Kuching,Service Residence,2,1.0,1.0,689.0,2.0,4.0,2.0
3839,3839,Sri Putramas,2004.0,1700,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1050.0,2.0,9.0,42.0
3840,3840,Flat Taman Bukit Angkasa,,1200,house,Kuala Lumpur,Bangsar South,Flat,3,,2.0,688.0,1.0,5.0,14.0
3841,3841,Sofiya Residences,,2300,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862.0,1.0,5.0,36.0
3842,3842,Pangsapuri Sri Penara,,950,house,Kuala Lumpur,Cheras,Flat,3,,2.0,650.0,0.0,5.0,13.0
3843,3843,Sri Penaga,,3800,house,Kuala Lumpur,Bangsar,Condominium,2,1.0,2.0,1033.0,2.0,4.0,3.0
3844,3844,Setia SKY Residences,2011.0,2700,house,Kuala Lumpur,KLCC,Condominium,2,2.0,2.0,1055.0,1.0,8.0,37.0
3845,3845,Quadro Residences,2013.0,4900,house,Kuala Lumpur,KLCC,Condominium,3,2.0,3.0,1600.0,1.0,3.0,4.0
3846,3846,1A Stonor,,3500,house,Kuala Lumpur,KLCC,Condominium,3,,3.0,1141.0,2.0,6.0,5.0
3847,3847,1A Stonor,,6000,house,Kuala Lumpur,KLCC,Condominium,4,1.0,5.0,2000.0,2.0,6.0,5.0
3848,3848,Seri Maya,2008.0,1899,house,Kuala Lumpur,Setiawangsa,Condominium,3,1.0,2.0,1150.0,2.0,6.0,14.0
3849,3849,Residensi KepongMas,2020.0,1500,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,825.0,2.0,9.0,57.0
3850,3850,Danau Impian,1997.0,1500,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,918.0,2.0,9.0,11.0
3851,3851,,,5200,house,Kuala Lumpur,City Centre,Condominium,4,1.0,5.0,2174.0,2.0,7.0,
3852,3852,Taman Daya,,700,house,Kuala Lumpur,Kepong,Flat,2,,2.0,750.0,0.0,,3.0
3853,3853,Platinum Splendor Residensi Semarak,2020.0,2000,house,Kuala Lumpur,Keramat,Condominium,4,,2.0,1184.0,0.0,10.0,153.0
3854,3854,Legasi Kampong Bharu,2020.0,3200,house,Kuala Lumpur,KL City,Apartment,3,,2.0,950.0,2.0,10.0,23.0
3855,3855,The Era,2021.0,2900,house,Kuala Lumpur,Segambut,Service Residence,2,2.0,2.0,893.0,2.0,11.0,29.0
3856,3856,Sky Suites @ KLCC,2019.0,1800,room,Kuala Lumpur,KLCC,Service Residence,1,,1.0,250.0,2.0,1.0,17.0
3857,3857,Palace Court,2014.0,2100,house,Kuala Lumpur,Kuchai Lama,Condominium,3,2.0,2.0,1328.0,2.0,8.0,10.0
3858,3858,Platinum Hill PV 2,2013.0,100,room,Kuala Lumpur,Setapak,Condominium,1,,1.0,100.0,0.0,1.0,8.0
3859,3859,Residensi Harmoni 2 @ Bukit Prima Pelangi,2019.0,2100,house,Kuala Lumpur,Segambut,Condominium,3,2.0,2.0,1200.0,1.0,11.0,8.0
3860,3860,Casa Idaman,2010.0,1400,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,1.0,2.0,1047.0,1.0,6.0,29.0
3861,3861,Maxim Residences,2017.0,1300,house,Kuala Lumpur,Cheras,Service Residence,3,2.0,2.0,1050.0,1.0,7.0,49.0
3862,3862,M Centura,2021.0,1600,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,646.0,1.0,,140.0
3863,3863,Kepong Puncak Desa,,800,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,800.0,0.0,,1.0
3864,3864,Binjai 8,2013.0,2600,room,Kuala Lumpur,KLCC,Service Residence,1,,2.0,800.0,2.0,8.0,9.0
