,Unnamed: 0,prop_name,completion_year,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate,count
0,0,The Hipster @ Taman Desa,2022.0,4200,house,Kuala Lumpur,Taman Desa,Condominium,5,2.0,6.0,1842.0,2.0,10.0,57.0
1,1,Segar Courts,,2300,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1170.0,1.0,9.0,1.0
2,2,Pangsapuri Teratak Muhibbah 2,,1000,house,Kuala Lumpur,Taman Desa,Apartment,3,,2.0,650.0,2.0,4.0,5.0
3,3,Sentul Point Suite Apartment,2020.0,1700,house,Kuala Lumpur,Sentul,Apartment,2,1.0,2.0,743.0,1.0,8.0,56.0
4,4,Arte Mont Kiara,,1299,room,Kuala Lumpur,Mont Kiara,Service Residence,1,1.0,1.0,494.0,0.0,11.0,36.0
5,5,Residensi Vista Wirajaya,,1500,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,884.0,1.0,6.0,34.0
6,6,Sky Meridien,,2900,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,982.0,2.0,10.0,20.0
7,7,Arte Plus Jalan Ampang,2018.0,1550,room,Kuala Lumpur,Ampang,Service Residence,1,1.0,1.0,700.0,2.0,7.0,48.0
8,8,Nova I,2014.0,1400,house,Kuala Lumpur,Segambut,Apartment,2,1.0,1.0,750.0,2.0,5.0,6.0
9,9,Sofiya Residences,,1350,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862.0,1.0,6.0,36.0
10,10,The Park Sky Residence @ Bukit Jalil City,2019.0,2600,house,Kuala Lumpur,Bukit Jalil,Service Residence,2,,2.0,868.0,1.0,7.0,18.0
11,11,PV9 Residences @ Taman Melati,2022.0,2000,house,Kuala Lumpur,Setapak,Service Residence,4,2.0,2.0,1100.0,1.0,9.0,68.0
12,12,Arte Plus Jalan Ampang,2018.0,1500,room,Kuala Lumpur,Ampang,Service Residence,1,1.0,1.0,700.0,2.0,13.0,48.0
13,13,Maxim Citilights,2017.0,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,1009.0,2.0,11.0,42.0
14,14,Greenview Apartments,,1000,house,Kuala Lumpur,Kepong,Apartment,5,,2.0,855.0,1.0,3.0,10.0
15,15,Legasi Kampong Bharu,2020.0,3200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950.0,2.0,13.0,23.0
16,16,Legasi Kampong Bharu,2020.0,3200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950.0,2.0,13.0,23.0
17,17,Majestic Maxim,2021.0,1400,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,650.0,0.0,8.0,213.0
18,18,Desa Villas,,2500,house,Kuala Lumpur,Wangsa Maju,Condominium,4,2.0,2.0,1784.0,0.0,4.0,5.0
19,19,East Side One Ampang Avenue,,1800,house,Kuala Lumpur,Ampang,Condominium,3,1.0,2.0,1100.0,2.0,8.0,1.0
20,20,Majestic Maxim,2021.0,1099,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,0.0,8.0,213.0
21,21,Majestic Maxim,2021.0,1099,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,1.0,8.0,213.0
22,22,Majestic Maxim,2021.0,1199,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819.0,0.0,8.0,213.0
23,23,Majestic Maxim,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,0.0,8.0,213.0
24,24,Sri Penara,,1000,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,650.0,0.0,3.0,16.0
25,25,Prisma Cheras,,1100,room,Kuala Lumpur,Cheras,Condominium,1,1.0,1.0,900.0,1.0,9.0,27.0
26,26,Menara Alpha,,1400,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,1140.0,0.0,6.0,19.0
27,27,Berlian Residence @ Setapak,,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,900.0,0.0,5.0,27.0
28,28,28 Dutamas,2017.0,2500,house,Kuala Lumpur,Solaris Dutamas,Condominium,4,2.0,3.0,1500.0,1.0,6.0,9.0
29,29,28 Dutamas,2017.0,2900,house,Kuala Lumpur,Solaris Dutamas,Condominium,4,2.0,3.0,1719.0,2.0,6.0,9.0
30,30,Pangsapuri Melur (Sentul),2006.0,1750,house,Kuala Lumpur,Sentul,Apartment,3,,2.0,1065.0,1.0,,19.0
31,31,Residensi Vista Wirajaya,,1800,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,885.0,2.0,,34.0
32,32,Bayu Sentul Condominium,2015.0,1900,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1300.0,1.0,,18.0
33,33,Flexus Signature Suites,,1500,room,Kuala Lumpur,Jalan Kuching,Studio,1,1.0,1.0,530.0,2.0,6.0,2.0
34,34,Menjalara 18,,2400,house,Kuala Lumpur,Bandar Menjalara,Condominium,3,1.0,2.0,1316.0,2.0,8.0,5.0
35,35,G Residence @ Desa Pandan,2015.0,4500,house,Kuala Lumpur,Desa Pandan,Service Residence,3,2.0,2.0,1539.0,2.0,4.0,23.0
36,36,Greenpark,1999.0,1400,house,Kuala Lumpur,Old Klang Road,Condominium,3,1.0,2.0,1270.0,1.0,10.0,4.0
37,37,Majestic Maxim,2021.0,1800,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819.0,1.0,10.0,213.0
38,38,Baiduri Apartment (Desa Pandan),,1500,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,950.0,1.0,2.0,9.0
39,39,Bennington Residences @ SkyArena,2019.0,3000,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,1200.0,2.0,11.0,14.0
40,40,Sri Putramas,2004.0,1600,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,2.0,9.0,42.0
41,41,Putra Villa,2007.0,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1066.0,2.0,,46.0
42,42,38 Bidara,,2100,house,Kuala Lumpur,KLCC,Condominium,2,,2.0,706.0,2.0,9.0,21.0
43,43,3 Towers,2015.0,2500,house,Kuala Lumpur,Ampang Hilir,Condominium,2,1.0,1.0,890.0,2.0,6.0,10.0
44,44,One Maxim,2020.0,1300,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,2.0,650.0,1.0,9.0,47.0
45,45,Casa Mutiara,2007.0,2000,house,Kuala Lumpur,Bukit Bintang,Service Residence,2,1.0,2.0,742.0,2.0,7.0,22.0
46,46,Sofiya Residences,,2000,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862.0,2.0,2.0,36.0
47,47,Laman Tasik,2002.0,2100,house,Kuala Lumpur,Cheras,Condominium,4,1.0,3.0,1300.0,2.0,6.0,5.0
48,48,Residensi Seri Wahyu @ Jalan Kuching KL,,1300,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,805.0,1.0,9.0,20.0
49,49,The Hamilton,2020.0,2600,house,Kuala Lumpur,Wangsa Maju,Condominium,4,2.0,2.0,1000.0,2.0,8.0,17.0
50,50,3 Towers,2015.0,2000,room,Kuala Lumpur,Ampang Hilir,Service Residence,1,1.0,1.0,440.0,2.0,6.0,10.0
51,51,Menjalara 18,,2500,house,Kuala Lumpur,Bandar Menjalara,Condominium,5,2.0,3.0,1600.0,2.0,8.0,5.0
52,52,The Havre @ Bukit Jalil,2020.0,2500,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1028.0,2.0,14.0,40.0
53,53,,,2000,house,Kuala Lumpur,Setapak,Condominium,4,,2.0,940.0,2.0,10.0,
54,54,,,1800,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,860.0,2.0,10.0,
55,55,,,1700,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100.0,1.0,1.0,
56,56,,,1600,house,Kuala Lumpur,Setapak,Condominium,4,1.0,2.0,914.0,1.0,10.0,
57,57,,,2000,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100.0,2.0,10.0,
58,58,,,1500,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,1.0,10.0,
59,59,,,1700,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100.0,1.0,4.0,
60,60,,,1850,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,2.0,14.0,
61,61,,,1700,house,Kuala Lumpur,Sentul,Condominium,4,2.0,3.0,1200.0,1.0,14.0,
62,62,,,1700,house,Kuala Lumpur,Jalan Ipoh,Service Residence,2,1.0,2.0,904.0,2.0,14.0,
63,63,,,1800,house,Kuala Lumpur,Kepong,Condominium,4,2.0,2.0,1300.0,1.0,14.0,
64,64,M3 Residency,2017.0,1600,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,950.0,1.0,,1.0
65,65,,,1600,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,1.0,14.0,
66,66,Majestic Maxim,2021.0,1400,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,650.0,0.0,8.0,213.0
67,67,D'Puncak Suasana,,1000,house,Kuala Lumpur,KLCC,Apartment,3,2.0,2.0,1000.0,1.0,9.0,1.0
68,68,Kaleidoscope,,2700,house,Kuala Lumpur,Setiawangsa,Condominium,3,,2.0,1115.0,1.0,6.0,11.0
69,69,KL Traders Square Residences,2019.0,1400,house,Kuala Lumpur,Gombak,Service Residence,3,1.0,2.0,850.0,0.0,14.0,49.0
70,70,Prisma Cheras,,1500,house,Kuala Lumpur,Cheras,Condominium,2,1.0,1.0,717.0,2.0,13.0,27.0
71,71,Seasons Garden Residences @ Wangsa Maju,2017.0,1350,house,Kuala Lumpur,Wangsa Maju,Apartment,3,1.0,2.0,850.0,1.0,,51.0
72,72,Lavile,2021.0,3000,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,864.0,2.0,11.0,33.0
73,73,Maxim Citilights,2017.0,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,1150.0,0.0,8.0,42.0
74,74,Fajar Ria,,2500,house,Kuala Lumpur,Pantai,Condominium,3,,2.0,1500.0,2.0,5.0,5.0
75,75,Banyan Tree,2015.0,7000,house,Kuala Lumpur,KLCC,Condominium,2,1.0,2.0,1076.0,2.0,8.0,5.0
76,76,PPA1M Bukit Jalil,,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,1000.0,0.0,6.0,23.0
77,77,Taman Connaught,,900,house,Kuala Lumpur,Cheras,Apartment,2,1.0,1.0,550.0,1.0,5.0,7.0
78,78,Midah Ria,,1300,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,967.0,1.0,8.0,14.0
79,79,Sri Kenangan,,2500,house,Kuala Lumpur,Wangsa Maju,Condominium,4,1.0,2.0,1184.0,1.0,6.0,10.0
80,80,Faber Ria,1985.0,1300,house,Kuala Lumpur,Taman Desa,Condominium,2,1.0,2.0,1050.0,1.0,12.0,4.0
81,81,Banyan Tree,2015.0,7800,house,Kuala Lumpur,KLCC,Condominium,2,1.0,2.0,1076.0,2.0,10.0,5.0
82,82,Villa Wangsamas,2010.0,1700,house,Kuala Lumpur,Wangsa Maju,Condominium,3,,3.0,1267.0,1.0,11.0,41.0
83,83,Villa Wangsamas,2010.0,2000,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,3.0,1267.0,2.0,11.0,41.0
84,84,The Capers,,2100,house,Kuala Lumpur,Sentul,Service Residence,2,,2.0,999.0,1.0,10.0,12.0
85,85,Central Residence @ Sg Besi,2015.0,1750,house,Kuala Lumpur,Sungai Besi,Condominium,3,2.0,2.0,1121.0,2.0,9.0,5.0
86,86,Unio Residence,2021.0,2000,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,872.0,2.0,11.0,24.0
87,87,Dahlia Apartment (Ampang),,1300,house,Kuala Lumpur,Ampang,Apartment,3,,2.0,860.0,0.0,3.0,12.0
88,88,1 Petaling,2012.0,1100,house,Kuala Lumpur,Sungai Besi,Condominium,3,1.0,2.0,904.0,1.0,6.0,7.0
89,89,Residensi Seri Wahyu @ Jalan Kuching KL,,1300,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,835.0,2.0,10.0,20.0
90,90,Pangsapuri Seroja,,850,house,Kuala Lumpur,Jinjang,Apartment,3,,2.0,750.0,1.0,1.0,4.0
91,91,Endah Villa,,1400,house,Kuala Lumpur,Sri Petaling,Condominium,3,1.0,2.0,1129.0,2.0,11.0,3.0
92,92,Unio Residence,2021.0,1900,house,Kuala Lumpur,Kepong,Service Residence,2,1.0,2.0,1132.0,1.0,11.0,6.0
93,93,Rica Residence Sentul,2021.0,1700,house,Kuala Lumpur,Sentul,Condominium,2,,1.0,700.0,1.0,10.0,13.0
94,94,PV9 Residences @ Taman Melati,2022.0,2100,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000.0,1.0,9.0,68.0
95,95,Suasana Lumayan,2015.0,1550,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142.0,1.0,8.0,33.0
96,96,Plaza Prima Setapak,2006.0,1400,house,Kuala Lumpur,Setapak,Condominium,4,2.0,2.0,1300.0,1.0,6.0,7.0
97,97,Residensi Vista Wirajaya,,1800,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,884.0,2.0,7.0,34.0
98,98,One Maxim,2020.0,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,819.0,1.0,9.0,47.0
99,99,M Centura,2021.0,2500,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850.0,2.0,6.0,140.0
100,100,PV9 Residences @ Taman Melati,2022.0,2300,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000.0,1.0,7.0,68.0
101,101,Majestic Maxim,2021.0,1350,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,1.0,650.0,1.0,8.0,213.0
102,102,Residensi KepongMas,2020.0,1100,house,Kuala Lumpur,Kepong,Apartment,3,2.0,2.0,800.0,1.0,6.0,57.0
103,103,Bayu Sentul Condominium,2015.0,1700,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1300.0,1.0,14.0,18.0
104,104,Vista Angkasa,,1800,house,Kuala Lumpur,Bangsar South,Apartment,3,1.0,2.0,1200.0,1.0,10.0,18.0
105,105,The Nest Residence @ Genting Klang,,1600,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,770.0,2.0,10.0,10.0
106,106,Sky Awani 3 Residence Setpak,,1600,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,800.0,2.0,8.0,1.0
107,107,M Centura,2021.0,1650,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,850.0,1.0,1.0,140.0
108,108,M Centura,2021.0,1200,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,646.0,0.0,8.0,140.0
109,109,OG Heights,1988.0,1200,house,Kuala Lumpur,Pantai,Condominium,2,1.0,2.0,1000.0,1.0,6.0,6.0
110,110,8 Petaling,2014.0,2599,house,Kuala Lumpur,Sri Petaling,Condominium,4,3.0,5.0,1899.0,2.0,7.0,4.0
111,111,Delima J Apartment,,1400,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,1000.0,1.0,3.0,14.0
112,112,Lexa Residence @ The Quartz WM,,2600,house,Kuala Lumpur,Wangsa Maju,Service Residence,4,,2.0,877.0,2.0,,10.0
113,113,The Nest Residence @ Genting Klang,,900,room,Kuala Lumpur,Setapak,Service Residence,1,1.0,1.0,360.0,2.0,10.0,10.0
114,114,Hedgeford 10 Residences @ Wangsa Maju,2015.0,1200,room,Kuala Lumpur,Wangsa Maju,Service Residence,1,1.0,1.0,521.0,1.0,6.0,3.0
115,115,The Establishment,2018.0,2500,room,Kuala Lumpur,Brickfields,Service Residence,1,1.0,1.0,468.0,2.0,1.0,1.0
116,116,The Henge Kepong,2019.0,2200,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,2.0,14.0,32.0
117,117,Sofiya Residences,,2300,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862.0,2.0,9.0,36.0
118,118,Suasana Lumayan,2015.0,1500,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142.0,1.0,14.0,33.0
119,119,Vista Komanwel A,,1600,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1224.0,2.0,10.0,8.0
120,120,Apartment Sentul,,700,house,Kuala Lumpur,Sentul,Apartment,3,,1.0,700.0,0.0,2.0,11.0
121,121,Lakeville Residence,2017.0,1900,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,1193.0,1.0,12.0,28.0
122,122,Arte Plus Jalan Ampang,2018.0,2100,house,Kuala Lumpur,Ampang,Service Residence,3,2.0,2.0,1200.0,2.0,11.0,48.0
123,123,Vista Langkawi @ PV18,,1399,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926.0,1.0,,23.0
124,124,Residensi Alam Damai (PR1MA @ Alam Damai),,1300,house,Kuala Lumpur,Cheras,Apartment,3,1.0,3.0,935.0,0.0,6.0,25.0
125,125,Platinum OUG Residence,2021.0,1450,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1100.0,1.0,5.0,64.0
126,126,Residensi Pandanmas 1,,1500,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,900.0,1.0,10.0,12.0
127,127,Flat Taman Melati,,1000,house,Kuala Lumpur,Setapak,Flat,3,,2.0,650.0,0.0,,10.0
128,128,First Residence,2012.0,1600,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,1070.0,1.0,8.0,4.0
129,129,M Centura,2021.0,2200,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850.0,2.0,8.0,140.0
130,130,Regalia Residence,2012.0,2000,room,Kuala Lumpur,Jalan Sultan Ismail,Service Residence,1,1.0,1.0,560.0,2.0,5.0,29.0
131,131,38 Bidara,,1900,house,Kuala Lumpur,KLCC,Condominium,2,,2.0,705.0,2.0,9.0,21.0
132,132,Unio Residence,2021.0,2200,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,866.0,2.0,11.0,24.0
133,133,Legasi Kampong Bharu,2020.0,3300,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950.0,2.0,10.0,23.0
134,134,Mercu Summer Suites @ Kuala Lumpur,2015.0,2000,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,600.0,2.0,6.0,11.0
135,135,Vista Saujana,,1000,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,955.0,1.0,4.0,11.0
136,136,Teratai Mewah Apartment,,850,house,Kuala Lumpur,Setapak,Apartment,3,,1.0,650.0,0.0,4.0,24.0
137,137,Bangsar Permai,1998.0,2500,house,Kuala Lumpur,Bangsar,Condominium,3,,2.0,1000.0,2.0,8.0,1.0
138,138,Bayu Tasik 2,1998.0,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1000.0,2.0,9.0,29.0
139,139,Platinum Oug Residence,,1650,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,2.0,1200.0,2.0,10.0,2.0
140,140,M Centura,2021.0,2500,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850.0,1.0,7.0,140.0
141,141,Casa Idaman,2010.0,1500,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,1062.0,1.0,,29.0
142,142,Flat Taman Bukit Angkasa,,1200,house,Kuala Lumpur,Bangsar South,Flat,3,,2.0,700.0,1.0,1.0,14.0
143,143,Platinum Lake PV 21,,1500,house,Kuala Lumpur,Setapak,Service Residence,3,,2.0,1040.0,1.0,6.0,32.0
144,144,Platinum Lake PV 20,,1500,house,Kuala Lumpur,Setapak,Condominium,4,2.0,2.0,1333.0,1.0,,7.0
145,145,M Vertica,2023.0,1800,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,850.0,1.0,10.0,115.0
146,146,Impian Kota,,1500,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,1100.0,1.0,1.0,1.0
147,147,Desa Dua Aman Puri,1990.0,850,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,850.0,0.0,7.0,12.0
148,148,The Andes Condo Villa @ Bukit Jalil,2018.0,3700,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1325.0,2.0,,5.0
149,149,Kepong Sentral Condominium,2007.0,999,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,962.0,0.0,10.0,34.0
150,150,Nuri Court,,1500,house,Kuala Lumpur,Pandan Indah,Apartment,3,,2.0,900.0,2.0,2.0,10.0
151,151,The Hipster @ Taman Desa,2022.0,2100,house,Kuala Lumpur,Taman Desa,Condominium,3,2.0,2.0,925.0,2.0,11.0,57.0
152,152,Mont Kiara Astana,1998.0,4500,house,Kuala Lumpur,Mont Kiara,Condominium,4,,3.0,1690.0,2.0,10.0,5.0
153,153,Sentrio Suites,2017.0,1550,room,Kuala Lumpur,Desa Pandan,Service Residence,1,1.0,1.0,570.0,2.0,6.0,13.0
154,154,Majestic Maxim,2021.0,2300,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,1050.0,2.0,8.0,213.0
155,155,Tiara Mutiara 2,2017.0,1500,house,Kuala Lumpur,Old Klang Road,Service Residence,3,,2.0,900.0,1.0,6.0,10.0
156,156,PV9 Residences @ Taman Melati,2022.0,2499,house,Kuala Lumpur,Setapak,Service Residence,4,3.0,2.0,1100.0,1.0,7.0,68.0
157,157,Bukit Pandan 2,,1450,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1150.0,2.0,12.0,4.0
158,158,Angkasa Impian 1,2004.0,4000,house,Kuala Lumpur,Bukit Bintang,Condominium,4,,4.0,2200.0,2.0,8.0,2.0
159,159,Majestic Maxim,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,2,,2.0,650.0,1.0,8.0,213.0
160,160,Majestic Maxim,2021.0,1750,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819.0,1.0,11.0,213.0
161,161,EkoCheras Service Apartment,2017.0,1800,room,Kuala Lumpur,Cheras,Service Residence,1,1.0,2.0,762.0,1.0,10.0,14.0
162,162,Apartment Sentul,,1700,house,Kuala Lumpur,Sentul,Apartment,2,1.0,2.0,743.0,2.0,14.0,11.0
163,163,Camellia,2014.0,2200,room,Kuala Lumpur,Bangsar South,Condominium,1,1.0,1.0,638.0,2.0,5.0,1.0
164,164,Bayu @ Pandan Jaya,2015.0,1700,house,Kuala Lumpur,Pandan Jaya,Condominium,3,1.0,2.0,1072.0,1.0,7.0,2.0
165,165,Casa Green (Bukit Jalil),,2000,house,Kuala Lumpur,Bukit Jalil,Condominium,4,1.0,2.0,900.0,2.0,7.0,30.0
166,166,10 Semantan,2006.0,1948,house,Kuala Lumpur,Damansara Heights,Service Residence,2,1.0,2.0,990.0,2.0,9.0,13.0
167,167,Impiana Sky Residensi,2021.0,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,850.0,1.0,5.0,58.0
168,168,M Vertica,2023.0,2200,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,850.0,2.0,12.0,115.0
169,169,Damai Hillpark,2015.0,1600,house,Kuala Lumpur,Bandar Damai Perdana,Service Residence,3,2.0,2.0,1020.0,1.0,7.0,7.0
170,170,Vista Langkawi @ PV18,,1300,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926.0,0.0,,23.0
171,171,Platinum Lake PV 13,,2400,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,1313.0,1.0,9.0,7.0
172,172,Majestic Maxim,2021.0,1400,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,850.0,0.0,,213.0
173,173,,,2500,house,Kuala Lumpur,Segambut,Condominium,3,2.0,3.0,1537.0,2.0,11.0,
174,174,1 Razak Mansion,,1200,house,Kuala Lumpur,Sungai Besi,Condominium,3,,2.0,800.0,0.0,5.0,5.0
175,175,Putra Villa,2007.0,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1066.0,2.0,6.0,46.0
176,176,Vina Versatile Homes,2016.0,1400,room,Kuala Lumpur,Cheras,Studio,1,1.0,1.0,450.0,2.0,10.0,1.0
177,177,M Vertica,2023.0,1800,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,850.0,1.0,9.0,115.0
178,178,PV9 Residences @ Taman Melati,2022.0,550,house,Kuala Lumpur,Setapak,Service Residence,4,,3.0,1300.0,1.0,11.0,68.0
179,179,Residensi Jalilmas,,1000,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,800.0,1.0,5.0,54.0
180,180,Sri Putramas,2004.0,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,1.0,10.0,42.0
181,181,Sri Putramas,2004.0,1600,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,2.0,10.0,42.0
182,182,Pangsapuri Melur (Sentul),2006.0,1400,house,Kuala Lumpur,Sentul,Apartment,3,1.0,2.0,650.0,1.0,8.0,19.0
183,183,Platinum OUG Residence,2021.0,1800,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1200.0,2.0,4.0,64.0
184,184,Majestic Maxim,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,2,,2.0,650.0,0.0,8.0,213.0
185,185,Majestic Maxim,2021.0,1488,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819.0,1.0,8.0,213.0
186,186,vista wirajaya 2,,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850.0,0.0,,1.0
187,187,Danau Kota Suite Apartments,2018.0,2200,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,829.0,2.0,8.0,4.0
188,188,Anjung Hijau,,1400,house,Kuala Lumpur,Bukit Jalil,Condominium,2,1.0,2.0,980.0,2.0,7.0,15.0
189,189,Sri Putramas,2004.0,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100.0,2.0,10.0,42.0
190,190,Residensi Pandanmas 1,,1600,house,Kuala Lumpur,Desa Pandan,Apartment,3,,2.0,900.0,2.0,9.0,12.0
191,191,Awana Puri Condominiums,,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1185.0,1.0,,2.0
192,192,Sri Pelangi (Jalan Genting Kelang),2003.0,1200,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,931.0,1.0,10.0,13.0
193,193,Taman Miharja Apartment (LRT Miharja),,1500,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,950.0,1.0,1.0,3.0
194,194,,,1400,room,Kuala Lumpur,Old Klang Road,Condominium,1,1.0,2.0,775.0,2.0,9.0,
195,195,Endah Ria,2000.0,1600,house,Kuala Lumpur,Sri Petaling,Condominium,4,,2.0,1421.0,1.0,5.0,12.0
196,196,Putra Villa,2007.0,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1076.0,2.0,7.0,46.0
197,197,Kenari Apartment (Taman Melati),,1600,house,Kuala Lumpur,Setapak,Apartment,3,,2.0,900.0,2.0,6.0,15.0
198,198,Mutiara Magna,,1000,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,750.0,0.0,2.0,10.0
199,199,Kenari Apartment (Taman Melati),,1600,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,900.0,2.0,3.0,15.0
200,200,The Holmes,,1600,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1018.0,1.0,,24.0
