,prop_name,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate
55,,1700,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100,1,1.0
56,,1600,house,Kuala Lumpur,Setapak,Condominium,4,1.0,2.0,914,1,10.0
57,,2000,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100,2,10.0
58,,1500,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100,1,10.0
59,,1700,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100,1,4.0
60,,1850,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100,2,14.0
61,,1700,house,Kuala Lumpur,Sentul,Condominium,4,2.0,3.0,1200,1,14.0
62,,1700,house,Kuala Lumpur,Jalan Ipoh,Service Residence,2,1.0,2.0,904,2,14.0
63,,1800,house,Kuala Lumpur,Kepong,Condominium,4,2.0,2.0,1300,1,14.0
64,M3 Residency,1600,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,950,1,
65,,1600,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100,1,14.0
66,Majestic Maxim,1400,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,650,0,8.0
67,D'Puncak Suasana,1000,house,Kuala Lumpur,KLCC,Apartment,3,2.0,2.0,1000,1,9.0
68,Kaleidoscope,2700,house,Kuala Lumpur,Setiawangsa,Condominium,3,,2.0,1115,1,6.0
69,KL Traders Square Residences,1400,house,Kuala Lumpur,Gombak,Service Residence,3,1.0,2.0,850,0,14.0
70,Prisma Cheras,1500,house,Kuala Lumpur,Cheras,Condominium,2,1.0,1.0,717,2,13.0
71,Seasons Garden Residences @ Wangsa Maju,1350,house,Kuala Lumpur,Wangsa Maju,Apartment,3,1.0,2.0,850,1,
72,Lavile,3000,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,864,2,11.0
73,Maxim Citilights,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,1150,0,8.0
74,Fajar Ria,2500,house,Kuala Lumpur,Pantai,Condominium,3,,2.0,1500,2,5.0
75,Banyan Tree,7000,house,Kuala Lumpur,KLCC,Condominium,2,1.0,2.0,1076,2,8.0
76,PPA1M Bukit Jalil,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,1000,0,6.0
