,prop_name,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate
1319,Sentul Point Suite Apartment,1500,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,850,1,10.0
1320,Desa Aman Puri,800,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,866,1,1.0
1321,"SkyAwani 3 Residence, Setapak",1500,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,800,1,12.0
1322,The Mark,1500,room,Kuala Lumpur,Cheras,Service Residence,1,2.0,1.0,618,2,12.0
1323,Residensi Seri Wahyu @ Jalan Kuching KL,1200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,805,1,9.0
1324,The Mark,2000,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,833,2,12.0
1325,The Mark,2300,house,Kuala Lumpur,Cheras,Service Residence,3,2.0,2.0,1166,2,12.0
1326,Ketumbar Hill,1450,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1200,1,11.0
1327,Sentul Point Suite Apartment,1500,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,1002,1,14.0
1328,Emerald Hills,2300,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,893,2,10.0
1329,Sri Ledang,1500,house,Kuala Lumpur,Wangsa Maju,Condominium,4,1.0,2.0,1100,1,6.0
1330,THE FENNEL AT SENTUL EAST,2600,house,Kuala Lumpur,Sentul,Condominium,3,2.0,3.0,1300,2,
1331,Perumahan Penjawat Awam 1 Malaysia (PPA1M) Bukit Jalil,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,3,,2.0,1100,0,5.0
1332,Sri Putramas,2500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,3.0,2.0,1050,2,10.0
1333,Damansara Foresta,2400,house,Kuala Lumpur,Sri Damansara,Condominium,4,2.0,3.0,1500,2,9.0
1334,,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,2,1.0,2.0,870,1,10.0
1335,,2200,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1470,1,10.0
1336,Pandan Ria Apartment (Block C),1200,house,Kuala Lumpur,KLCC,Apartment,4,,2.0,900,2,
1337,Suasana Lumayan,1600,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142,1,8.0
1338,Enesta,1700,house,Kuala Lumpur,Kepong,Service Residence,3,2.0,2.0,953,0,8.0
1339,The Herz,1500,house,Kuala Lumpur,Kepong,Condominium,3,2.0,3.0,1144,1,11.0
1340,Maxim Citilights,1200,house,Kuala Lumpur,Sentul,Condominium,2,,2.0,856,0,6.0
1341,Maxim Citilights,1340,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,1100,1,6.0
1342,Enesta,2000,house,Kuala Lumpur,Kepong,Service Residence,3,2.0,2.0,1009,1,8.0
1343,Maxim Citilights,1400,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,1009,1,8.0
1344,Flexus Signature Suites,1200,room,Kuala Lumpur,Jalan Kuching,Service Residence,1,1.0,1.0,600,1,6.0
1345,Arte Mont Kiara,1999,room,Kuala Lumpur,Mont Kiara,Service Residence,1,1.0,1.0,500,2,8.0
1346,Bangunan Wadi Rahmat,1200,house,Kuala Lumpur,Taman Melawati,Apartment,3,1.0,2.0,850,0,
1347,Winner Court A,1000,house,Kuala Lumpur,Desa Petaling,Condominium,3,1.0,2.0,765,1,
1348,Platinum Splendor Residensi Semarak,1400,house,Kuala Lumpur,Keramat,Condominium,3,1.0,2.0,900,0,10.0
1349,PV18 Residence,1800,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,3.0,1219,1,9.0
1350,United Point Residence @ North Kiara,1800,house,Kuala Lumpur,Kepong,Service Residence,3,1.0,2.0,829,1,
1351,M Centura,1200,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,646,2,14.0
1352,Taman Mastiara,900,house,Kuala Lumpur,Jalan Ipoh,Apartment,3,,2.0,1100,0,2.0
1353,Eco Sky,2000,house,Kuala Lumpur,Jalan Ipoh,Service Residence,2,1.0,2.0,904,2,14.0
1354,Iris Apartment (Taman Desa),950,house,Kuala Lumpur,Taman Desa,Apartment,2,,1.0,650,1,1.0
1355,Sentrio Suites,2100,house,Kuala Lumpur,Desa Pandan,Service Residence,3,1.0,2.0,950,1,6.0
1356,KL Trillion,3000,house,Kuala Lumpur,KLCC,Service Residence,2,1.0,2.0,970,2,11.0
1357,Millerz Square @ Old Klang Road,2200,house,Kuala Lumpur,Old Klang Road,Service Residence,3,2.0,2.0,900,2,10.0
1358,Millerz Square @ Old Klang Road,2299,house,Kuala Lumpur,Old Klang Road,Service Residence,3,2.0,2.0,852,1,10.0
1359,Residency V,1999,house,Kuala Lumpur,Old Klang Road,Service Residence,2,2.0,2.0,814,1,12.0
1360,The Vyne,5000,house,Kuala Lumpur,Sungai Besi,Condominium,4,3.0,4.0,1449,2,13.0
1361,,1300,house,Kuala Lumpur,Sungai Besi,Apartment,2,1.0,1.0,654,1,7.0
1362,,4800,house,Kuala Lumpur,KLCC,Service Residence,2,1.0,2.0,990,2,5.0
1363,Abadi Indah,1200,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,950,1,8.0
1364,The Holmes,1700,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1018,1,8.0
1365,Palace Court,3300,house,Kuala Lumpur,Kuchai Lama,Condominium,6,2.0,5.0,2497,1,10.0
1366,Sunway Velocity,1400,house,Kuala Lumpur,Cheras,Condominium,4,,3.0,1000,1,4.0
1367,Pavilion Residences,5500,house,Kuala Lumpur,Bukit Bintang,Condominium,2,1.0,2.0,1307,2,6.0
1368,Cengal Condominium,1500,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1080,2,3.0
1369,,2500,room,Kuala Lumpur,KLCC,Condominium,1,,1.0,473,2,7.0
1370,Royal Domain Sri Putramas 2,1900,house,Kuala Lumpur,Jalan Kuching,Service Residence,3,1.0,2.0,1295,2,11.0
1371,Residensi Wangsamas,1400,house,Kuala Lumpur,Wangsa Maju,Apartment,3,1.0,2.0,800,0,7.0
1372,Endah Ria,1500,house,Kuala Lumpur,Sri Petaling,Condominium,3,1.0,2.0,945,2,
1373,Aman Dua,950,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,850,1,4.0
1374,Danau Impian,1199,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,946,1,9.0
1375,Angkasa Condominiums,1600,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,928,2,10.0
1376,Residensi Jalilmas,1200,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,800,1,4.0
1377,Residensi Jalilmas,1100,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,850,1,4.0
1378,Sri Rakyat Apartment,900,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,667,1,3.0
1379,Sky Awani Residensi,1800,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,800,2,10.0
1380,Lavile,2700,house,Kuala Lumpur,Cheras,Condominium,2,1.0,2.0,850,2,5.0
1381,Queensville,1700,room,Kuala Lumpur,Cheras,Studio,1,1.0,1.0,712,2,
1382,Prima Setapak 2,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1426,1,8.0
1383,Royal Regent (Sri Putramas 3),2700,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1015,2,10.0
1384,Lakeville Residence,2000,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,978,1,5.0
1385,M Vertica,1400,house,Kuala Lumpur,Cheras,Condominium,4,2.0,3.0,1000,1,9.0
1386,Titiwangsa Sentral,2400,house,Kuala Lumpur,Titiwangsa,Condominium,3,,2.0,1100,2,9.0
1387,MH Platinum Residency,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1018,1,10.0
1388,Axis Residence,2100,house,Kuala Lumpur,Ampang,Service Residence,3,,1.0,700,2,4.0
1389,Platinum Teratai Residence,1600,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,928,1,10.0
1390,Desa Satu,1000,house,Kuala Lumpur,Kepong,Apartment,3,,1.0,750,1,4.0
1391,Sky Awani Residensi,1800,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,800,2,11.0
1392,Boulevard Serviced Apartment,1600,house,Kuala Lumpur,Jalan Ipoh,Service Residence,3,1.0,2.0,1009,2,9.0
1393,Brem Park 1,1100,house,Kuala Lumpur,Old Klang Road,Condominium,3,1.0,2.0,1100,2,10.0
1394,Aster Green Residence,1600,house,Kuala Lumpur,Sri Petaling,Condominium,3,1.0,2.0,900,1,6.0
1395,Titiwangsa Sentral,2400,house,Kuala Lumpur,Titiwangsa,Condominium,3,,2.0,1100,2,9.0
1396,Setia SKY Residences,4200,house,Kuala Lumpur,KLCC,Condominium,4,2.0,4.0,1380,2,12.0
1397,Delima J Apartment,1300,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,1000,2,
1398,3 Towers,2200,house,Kuala Lumpur,Ampang Hilir,Condominium,2,,1.0,890,2,6.0
1399,Rampai Court,1000,house,Kuala Lumpur,Wangsa Maju,Apartment,2,2.0,1.0,600,0,4.0
1400,Vista Langkawi @ PV18,1600,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926,0,
1401,288 Residences @ Kuchai Lama,1700,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1215,1,10.0
1402,Residensi KepongMas,1300,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,800,1,1.0
1403,M centura,1700,house,Kuala Lumpur,Sentul,Condominium,4,2.0,2.0,1001,1,8.0
1404,Pearl Suria,3000,house,Kuala Lumpur,Old Klang Road,Condominium,3,1.0,2.0,1200,2,11.0
1405,Savio Riana Dutamas Residence,1300,room,Kuala Lumpur,Segambut,Service Residence,1,1.0,1.0,653,1,
1406,Mizumi Residences,1400,house,Kuala Lumpur,Kepong,Service Residence,4,2.0,2.0,932,0,13.0
1407,Faber Heights,2000,house,Kuala Lumpur,Taman Desa,Condominium,3,2.0,2.0,1200,2,11.0
1408,Setapak Ria Condominium,1200,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,911,1,10.0
1409,The Hamstead,1400,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,947,1,10.0
1410,Ketumbar Hill,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1200,2,
1411,PV9 Residences @ Taman Melati,1800,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,884,1,
1412,Scarletz,2500,room,Kuala Lumpur,KLCC,Service Residence,1,,1.0,450,2,6.0
1413,EkoCheras Service Apartment,2400,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,1168,1,11.0
1414,Spring Villa Apartment,1100,house,Kuala Lumpur,Ampang,Apartment,3,1.0,2.0,750,1,2.0
1415,Residensi Akasia Permaisuri,1700,house,Kuala Lumpur,Cheras,Apartment,3,2.0,2.0,807,2,
1416,Parc 3,2700,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,736,2,8.0
1417,Mesra Villa @ Pandan Mesra,1300,house,Kuala Lumpur,Ampang,Apartment,3,1.0,2.0,871,1,2.0
1418,Impiana Sky Residensi,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,850,1,5.0
1419,Vista Danau Kota,1600,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,969,1,3.0
1420,Impiana Sky Residensi,1200,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,2.0,850,1,5.0
1421,Genting Court Condominium,1000,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,803,0,1.0
1422,Desa Angkasa,3000,house,Kuala Lumpur,Ampang Hilir,Condominium,2,1.0,2.0,1227,2,12.0
1423,Pearl Suria,2000,house,Kuala Lumpur,Old Klang Road,Condominium,3,2.0,2.0,1202,2,12.0
1424,Aman Dua,900,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,850,1,4.0
1425,Rafflesia Sentul Condominium,1800,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,900,2,6.0
1426,Residensi Vista Wirajaya,1700,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,885,2,
1427,Laman Tasik,2000,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1280,2,9.0
1428,Residensi Rampai II,2000,house,Kuala Lumpur,Setapak,Apartment,4,2.0,2.0,950,2,9.0
1429,Cendana Apartment,900,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,700,1,4.0
1430,city of green,1000,room,Kuala Lumpur,Bukit Jalil,Condominium,1,1.0,1.0,650,1,7.0
1431,Putra Suria Residence,1300,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,750,1,6.0
1432,Lavile,9500,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,1068,2,5.0
1433,Majestic Maxim,1700,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,819,1,8.0
1434,,1300,house,Kuala Lumpur,Desa Pandan,Apartment,3,,2.0,900,2,7.0
1435,Pearl Suria,2500,house,Kuala Lumpur,Old Klang Road,Condominium,3,1.0,2.0,1200,2,11.0
1436,Menara Menjalara,1300,house,Kuala Lumpur,Bandar Menjalara,Condominium,3,1.0,2.0,1076,2,5.0
1437,Kenanga Point,2200,house,Kuala Lumpur,Pudu,Condominium,3,1.0,2.0,1060,1,11.0
1438,Majestic Maxim,1400,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,650,0,8.0
1439,Pearl Suria,1700,house,Kuala Lumpur,Old Klang Road,Condominium,2,1.0,2.0,911,2,8.0
1440,The Orion,3000,house,Kuala Lumpur,City Centre,Condominium,3,3.0,3.0,1323,2,7.0
1441,The Capers,2500,house,Kuala Lumpur,Sentul,Service Residence,2,,2.0,999,2,8.0
1442,Sky Meridien,2400,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1000,2,
1443,M Centura,2000,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,646,2,9.0
1444,Arte Mont Kiara,3200,house,Kuala Lumpur,Mont Kiara,Service Residence,2,2.0,1.0,925,2,10.0
1445,J.dupion,3100,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1125,2,
1446,SkyMeridien Residences @ Sentul East,1750,room,Kuala Lumpur,Sentul,Condominium,1,1.0,1.0,600,2,14.0
1447,Court 28 @ KL City,1800,house,Kuala Lumpur,Jalan Ipoh,Service Residence,3,,2.0,859,2,6.0
1448,Enesta,1599,house,Kuala Lumpur,Kepong,Service Residence,3,1.0,2.0,920,1,9.0
1449,Emerald Hills,2300,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,893,2,8.0
1450,THE FENNEL AT SENTUL EAST,2700,house,Kuala Lumpur,Sentul,Condominium,3,,3.0,1200,2,6.0
1451,M City,2000,room,Kuala Lumpur,KL City,Service Residence,1,1.0,2.0,911,2,13.0
1452,Perdana Puri,1000,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,903,1,2.0
1453,Infiniti 3 Residences,2100,house,Kuala Lumpur,Wangsa Maju,Service Residence,3,2.0,2.0,1085,1,9.0
1454,Sri Jinjang Apartment (Pangsapuri Sri Jinjang),1200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,850,1,4.0
1455,Residensi Desa Sentralmas (Taman Desa),1300,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,850,1,6.0
1456,Seri Riana Residence,3600,house,Kuala Lumpur,Wangsa Maju,Condominium,3,2.0,2.0,1528,2,11.0
1457,Menara Polo,1000,room,Kuala Lumpur,Desa Pandan,Condominium,1,,1.0,750,1,13.0
1458,Arte KL,3000,house,Kuala Lumpur,Kuchai Lama,Condominium,3,,3.0,2000,2,5.0
1459,Menara Polo,1400,room,Kuala Lumpur,Desa Pandan,Condominium,1,,1.0,800,2,13.0
1460,Danau Kota Suite Apartments,1799,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,900,2,8.0
1461,PV9 Residences @ Taman Melati,1400,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850,2,14.0
1462,Casa Mutiara,2100,house,Kuala Lumpur,Bukit Bintang,Service Residence,2,1.0,2.0,750,2,6.0
1463,Seri Cendekia,1280,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,960,2,6.0
1464,Tuan Residency,1950,house,Kuala Lumpur,Jalan Kuching,Service Residence,3,1.0,2.0,900,2,10.0
1465,Casa Green (Bukit Jalil),530,room,Kuala Lumpur,Bukit Jalil,Condominium,1,,1.0,500,2,5.0
1466,PV9 Residences @ Taman Melati,2200,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000,1,5.0
1467,Casa Green (Bukit Jalil),680,room,Kuala Lumpur,Bukit Jalil,Condominium,1,,1.0,1000,2,5.0
1468,Casa Magna,1200,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,955,0,6.0
1469,Twinz Residences,1700,house,Kuala Lumpur,Puchong,Service Residence,3,,2.0,1181,1,8.0
1470,Residensi KepongMas,1000,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,800,0,4.0
1471,Regalia Residence,2000,room,Kuala Lumpur,Jalan Sultan Ismail,Service Residence,1,1.0,1.0,560,2,5.0
1472,Casa Green (Bukit Jalil),780,room,Kuala Lumpur,Bukit Jalil,Condominium,1,,1.0,1200,2,5.0
1473,Parc 3,2900,house,Kuala Lumpur,Cheras,Service Residence,4,2.0,2.0,1278,1,10.0
1474,Setia SKY Residences,1700,room,Kuala Lumpur,KLCC,Condominium,1,,1.0,350,2,9.0
1475,Vista Angkasa,1800,house,Kuala Lumpur,Bangsar South,Apartment,4,2.0,2.0,1100,1,8.0
1476,The Court @ Central Residence,1850,house,Kuala Lumpur,Sungai Besi,Service Residence,3,,2.0,1041,2,
1477,M City,2000,room,Kuala Lumpur,KL City,Service Residence,1,,2.0,910,2,11.0
1478,Platinum Hill PV 2,1700,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,1313,0,7.0
1479,Regalia Residence,1950,room,Kuala Lumpur,Jalan Sultan Ismail,Service Residence,1,,1.0,760,2,6.0
1480,Lanai Residences,1500,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,2.0,800,1,7.0
1481,The Orion,2700,house,Kuala Lumpur,City Centre,Condominium,3,3.0,3.0,1323,2,7.0
1482,Aman Satu,850,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,837,0,1.0
1483,Fortune Avenue,1800,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1920,1,5.0
1484,The Leafz,1900,house,Kuala Lumpur,Sungai Besi,Service Residence,2,2.0,2.0,1046,2,
1485,Rumbia Residence @ Ari Permaisuri,2500,house,Kuala Lumpur,Cheras,Condominium,4,2.0,3.0,1200,2,7.0
1486,Unio Residence,2480,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,900,2,11.0
1487,Angkupuri,2500,house,Kuala Lumpur,Mont Kiara,Condominium,4,1.0,2.0,1550,2,13.0
1488,MH Platinum Residency,1600,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,1018,1,
1489,Putra Villa,1800,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1100,2,7.0
1490,EkoCheras Service Apartment,3500,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,1121,2,11.0
1491,KL Eco City Vogue Suites 1,2899,house,Kuala Lumpur,Mid Valley City,Service Residence,2,1.0,1.0,797,2,11.0
1492,The Herz,2300,house,Kuala Lumpur,Kepong,Apartment,3,2.0,2.0,1216,2,14.0
1493,SkyMeridien Residences @ Sentul East,1800,house,Kuala Lumpur,Sentul,Condominium,2,2.0,2.0,800,1,14.0
1494,Boulevard Serviced Apartment,1600,house,Kuala Lumpur,Jalan Ipoh,Service Residence,3,1.0,2.0,1009,2,7.0
1495,Solaris Dutamas,2700,room,Kuala Lumpur,Mont Kiara,Service Residence,1,1.0,1.0,672,2,8.0
1496,The Park Sky Residence @ Bukit Jalil City,3600,house,Kuala Lumpur,Bukit Jalil,Service Residence,3,2.0,2.0,1039,2,5.0
1497,Dorsett Residences Sri Hartamas,1200,room,Kuala Lumpur,Sri Hartamas,Service Residence,1,1.0,1.0,500,2,8.0
1498,Nova I,1400,house,Kuala Lumpur,Segambut,Apartment,2,1.0,1.0,750,2,5.0
1499,Bennington Residences @ SkyArena,2800,house,Kuala Lumpur,Setapak,Condominium,4,2.0,3.0,1335,1,11.0
1500,Impiana Sky Residensi,1599,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,850,1,5.0
1501,Flat Desa Cheras,600,house,Kuala Lumpur,Cheras,Flat,2,,1.0,650,0,
1502,The Henge Kepong,1750,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100,2,14.0
1503,Plaza Medan Putra,1300,house,Kuala Lumpur,Kepong,Service Residence,3,1.0,2.0,808,2,7.0
1504,Bayu Sentul Condominium,1800,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1300,1,6.0
1505,Residensi Suria Pantai,1100,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,850,1,6.0
1506,,1500,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,850,1,8.0
1507,,2000,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850,1,
1508,Pandan Court,700,room,Kuala Lumpur,Ampang,Apartment,1,,1.0,830,2,8.0
1509,Danau Permai,2600,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,1005,2,11.0
1510,Sentul Point Suite Apartment,1300,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,2.0,650,1,8.0
1511,Bayu Andaman,1300,house,Kuala Lumpur,Sentul,Apartment,3,1.0,2.0,1000,0,14.0
1512,KM1,2650,house,Kuala Lumpur,Bukit Jalil,Condominium,3,,2.0,1508,2,9.0
1513,Bintang Goldhill,3800,house,Kuala Lumpur,KLCC,Condominium,3,,3.0,1500,2,4.0
1514,Titiwangsa Sentral,2000,house,Kuala Lumpur,Titiwangsa,Condominium,2,,1.0,600,2,9.0
1515,Platinum OUG Residence,1400,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1200,1,7.0
1516,Residensi Rampai,1850,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,850,2,6.0
1517,M Centura,1200,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,661,0,7.0
1518,Zeta Deskye Residence,1500,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,1037,1,8.0
1519,Titiwangsa Sentral,2000,house,Kuala Lumpur,Titiwangsa,Condominium,2,,1.0,600,2,9.0
1520,Rivercity Condominium,1500,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,1.0,2.0,1272,1,7.0
1521,Arte KL,2400,house,Kuala Lumpur,Kuchai Lama,Condominium,4,2.0,2.0,1496,2,9.0
1522,Residensi Suria Pantai,1500,house,Kuala Lumpur,Pantai,Apartment,3,1.0,2.0,810,1,6.0
1523,Impiana Sky Residensi,1600,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,850,2,5.0
1524,Sri Jelatek,1700,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1100,1,6.0
1525,The Loft @ ZetaPark,1650,room,Kuala Lumpur,Setapak,Condominium,1,1.0,1.0,689,2,7.0
1526,Flat Danau Kota,1000,house,Kuala Lumpur,Setapak,Apartment,3,,2.0,700,1,
1527,Delima J Apartment,1400,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,1000,2,
1528,United Point Residence @ North Kiara,2150,house,Kuala Lumpur,Kepong,Service Residence,3,2.0,2.0,960,2,12.0
1529,Trinity Aquata,1900,house,Kuala Lumpur,Sungai Besi,Condominium,3,1.0,2.0,840,2,12.0
1530,Platinum Teratai Residence,1900,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,928,1,7.0
1531,OUG Parklane,1200,house,Kuala Lumpur,OUG,Service Residence,3,1.0,2.0,950,1,7.0
1532,The Westside One,4000,house,Kuala Lumpur,Kepong,Condominium,3,2.0,3.0,1378,2,12.0
1533,Enesta,1500,house,Kuala Lumpur,Kepong,Service Residence,3,2.0,2.0,1136,1,10.0
1534,Anjung Villa,1600,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1300,2,9.0
1535,The Hamstead,1500,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,947,1,
1536,Laman Midah,1100,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,800,0,8.0
1537,THE FENNEL AT SENTUL EAST,2600,house,Kuala Lumpur,Sentul,Condominium,3,2.0,3.0,1186,2,14.0
1538,Suasana Lumayan,1550,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1140,1,5.0
1539,Enesta,1600,house,Kuala Lumpur,Kepong,Service Residence,3,1.0,2.0,916,1,8.0
1540,Pudu Impian 1,1300,house,Kuala Lumpur,Cheras,Apartment,3,2.0,2.0,700,2,6.0
1541,,1700,house,Kuala Lumpur,Old Klang Road,Condominium,4,2.0,2.0,1341,1,1.0
1542,The Birch,1900,house,Kuala Lumpur,Jalan Ipoh,Service Residence,2,1.0,1.0,611,1,9.0
1543,M Centura,1650,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,850,1,6.0
1544,Pearl Suria,2000,house,Kuala Lumpur,Old Klang Road,Condominium,2,1.0,2.0,892,2,8.0
1545,Kiara Residence 2,2000,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,2.0,1100,1,8.0
1546,Bayu Tasik 1,1200,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,920,1,7.0
1547,Putra Villa,1800,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1076,2,6.0
1548,Residensi Rampai,1800,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850,2,6.0
1549,Residensi KepongMas,1100,house,Kuala Lumpur,Kepong,Apartment,3,2.0,2.0,800,0,1.0
1550,Majestic Maxim,1300,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650,1,9.0
1551,Desa Tasik,850,house,Kuala Lumpur,Bandar Tasik Selatan,Apartment,2,,2.0,700,1,
1552,Aman Dua,1000,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,850,1,7.0
1553,Residensi Kepongmas 2,1400,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,800,1,4.0
1554,,1700,room,Kuala Lumpur,KL City,Service Residence,1,1.0,1.0,550,2,7.0
1555,3 Residen,2800,house,Kuala Lumpur,Taman Melawati,Condominium,3,2.0,2.0,850,2,7.0
1556,Teratai Mewah Apartment,1000,house,Kuala Lumpur,Setapak,Apartment,3,,1.0,653,1,4.0
1557,Danau Idaman,1700,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,910,2,9.0
1558,Residensi Kepongmas 2,1200,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,800,0,3.0
1559,Residensi Rampai II,2000,house,Kuala Lumpur,Setapak,Apartment,4,2.0,2.0,960,2,10.0
1560,Sentul Village Mercury Service Apartment,1600,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,948,1,9.0
1561,PV9 Residences @ Taman Melati,2500,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,1100,1,8.0
1562,Astana Lumayan,1500,house,Kuala Lumpur,Cheras,Service Residence,4,1.0,2.0,1200,1,8.0
