appid,name,release_date,english,developer,publisher,platforms_windows,platform_mac,platform_linux,required_age,categories,genres,achievements,positive_ratings,negative_ratings,average_playtime,owners,price
919690,Click and Manage Tycoon,9/19/2018,1,Cloaz Studio,Cloaz Studio,1,0,0,universal,Single-player,Casual,7,14,25,0,0-20000,2.89
959980,Click the Business,10/25/2018,1,Garnudo Games,Garnudo Games,1,0,0,universal,Single-player,Casual,0,0,1,0,0-20000,0.79
769200,Click&Fight,2/20/2018,1,Bug-meister production,Bug-meister production,1,0,0,universal,Single-player,Action,15,13,22,0,0-20000,0.79
856510,Click.O.Fast,5/15/2018,0,Nekyau Games, Nekyau,1,0,0,universal,Single-player,Action,0,1,3,0,0-20000,0.79
877370,CLICKER ACHIEVEMENTS - THE IMPOSSIBLE CHALLENGE,6/21/2018,1,DRUNKEN APES,DRUNKEN APES,1,1,0,universal,Single-player,Casual,120,24,10,0,0-20000,0.79
629910,Clicker Heroes 2,7/16/2018,1,Playsaurus,Playsaurus,1,1,0,universal,Single-player,Action,3,826,384,2259,100000-200000,23.79
834210,Clicker Planet,4/10/2018,1,Undead Turtle,Undead Turtle,1,0,0,universal,Single-player,Action,0,0,3,0,0-20000,1.69
978470,Clicker: Glad Valakas,11/26/2018,1,Zloy Krot Studio,Zloy Krot Studio,1,0,0,universal,Single-player,Casual,54,44,13,0,0-20000,1.69
776890,Clicker: Mining Simulator,1/18/2018,1,Zloy Krot Studio,Zloy Krot Studio,1,0,0,universal,Single-player,Casual,75,33,56,0,0-20000,0.79
809140,Cliff Empire,4/26/2018,1,Lion's Shade,Lion's Shade,1,0,0,universal,Single-player,Indie,15,686,67,0,20000-50000,5.99
876900,Climb,6/20/2018,1,A Sweet Studio,A Sweet Studio,1,0,0,universal,Online Multi-Player,Action,0,210,82,0,50000-100000,0
927840,Clinically Dead,12/6/2018,1,Mogila Games,Ultimate Games S.A.,1,0,0,universal,Single-player,Action,6,14,3,0,0-20000,11.39
