appid,name,release_date,english,developer,publisher,platforms_windows,platform_mac,platform_linux,required_age,categories,genres,achievements,positive_ratings,negative_ratings,average_playtime,owners,price
620590,Ancestors Legacy,5/22/2018,1,Destructive Creations,1C Entertainment,1,0,1,adult,Single-player,Strategy,50,1962,674,519,50000-100000,27.79
947830,Beyond,10/31/2018,1,Tired Dad Games,Tired Dad Games,1,0,1,adult,Single-player,Indie,0,1,2,0,0-20000,2.09
726360,Boobs Saga,12/7/2018,1,Boobs Dev,Boobs Dev,1,0,0,adult,Single-player,Action,0,367,103,38,20000-50000,1.99
823550,Booty Calls,9/18/2018,1,3X Entertainment Limited,3X Entertainment Limited,1,1,0,adult,Single-player,Casual,0,255,294,0,100000-200000,0
440900,Conan Exiles,5/8/2018,1,Funcom,Funcom,1,0,0,adult,Single-player,Action,25,22001,9594,4431,500000-1000000,33.99
778390,Corpse Party: Book of Shadows,10/29/2018,1,MAGES. Inc.,XSEED Games,1,0,0,adult,Single-player,Adventure,33,96,5,0,0-20000,12.99
912020,Deadly Curse,9/7/2018,1,Electrical Eagle,Electrical Eagle,1,1,1,adult,Single-player,Action,0,2,2,0,0-20000,11.39
866180,Debris 2x1 Hentai,7/9/2018,1,Red13Indie,Red13Indie,1,0,0,adult,Single-player,Adventure,3,1,5,0,0-20000,0.79
960030,Deca,12/20/2018,1,Jorge Diaz Alcaraz,Jorge Diaz Alcaraz,1,0,0,adult,Single-player,Indie,0,19,1,0,0-20000,8.29
859680,Deep Space Waifu: FANTASY,9/27/2018,1,Neko Climax Studios,Neko Climax Studios,1,0,0,adult,Single-player,Action,69,815,28,0,20000-50000,1.69
868980,DEEP SPACE WAIFU: NEKOMIMI,12/18/2018,1,Neko Climax Studios,Neko Climax Studios,1,0,0,adult,Single-player,Action,69,362,6,0,0-20000,1.69
743090,Defiance 2050,7/10/2018,1,Trion Worlds,Trion Worlds,1,0,0,adult,Online Multi-Player,Adventure,33,636,978,77,200000-500000,0
758280,Drunkenpants,1/5/2018,1,Firetail Games,Firetail Games,1,0,0,adult,Single-player,Violent,0,12,0,0,0-20000,0
489240,Exile to Death,6/1/2018,1,Aleksei Milchakov,Manifestors Games Studio,1,0,0,adult,Single-player,Action,0,7,23,0,0-20000,14.99
469820,Genital Jousting,1/18/2018,1,Free Lives,Devolver Digital,1,1,0,adult,Single-player,Action,28,4826,468,64,200000-500000,5.19
861350,Gym Simulator,11/17/2018,1,Kavkaz Sila Games,Kavkaz Sila Games,1,0,0,adult,Single-player,Action,7,46,53,0,0-20000,1.69
962380,HOT FIT!,11/30/2018,0,Cyberworks,Cyberworks,1,0,0,adult,Single-player,Adventure,0,28,7,0,0-20000,0
758050,Internet Simulator,3/15/2018,0,Kavkaz Sila Game,Kavkaz Sila Game,1,0,0,adult,Single-player,Indie,19,18,18,0,0-20000,2.09
517630,Just Cause 4,12/4/2018,1,Avalanche Studios,Square Enix,1,0,0,adult,Single-player,Action,52,2075,3780,1337,100000-200000,44.99
965810,Kara no Shojo,10/22/2018,1,Innocent Grey,MangaGamer,1,0,0,adult,Single-player,Adventure,0,61,3,0,0-20000,27.79
794600,LET IT DIE,9/26/2018,1,GRASSHOPPER MANUFACTURE INC.,GungHo Online Entertainment America,1,0,0,adult,Single-player,Action,14,1377,677,106,500000-1000000,0
532210,Life is Strange 2,9/26/2018,1,DONTNOD Entertainment,Square Enix,1,0,0,adult,Single-player,Adventure,46,4749,950,325,100000-200000,6.49
916060,Loca-Love My Cute Roommate,10/25/2018,1,Frontwing,Frontwing USA,1,0,0,adult,Single-player,Adventure,15,29,4,0,0-20000,15.49
975000,"NO, THANK YOU!!!",11/15/2018,1,parade,MangaGamer,1,0,0,adult,Single-player,Indie,0,9,1,0,0-20000,30.99
883830,NSFWare,10/17/2018,1,Pierrec,Pierrec,1,0,0,adult,Single-player,Casual,0,4,0,0,0-20000,2.09
844620,Odyssee,5/4/2018,1,Earth and Life Software,Earth and Life Marcoms,1,0,0,adult,Single-player,Violent,0,1,0,0,0-20000,4.79
576960,Out of The Box,7/19/2018,1,Nuclear Tales,Raiser Games,1,1,1,adult,Single-player,Adventure,28,55,12,0,0-20000,11.99
854870,Perseverance: Part 1,7/23/2018,1,Tap It Games,Tap It Games,1,0,0,adult,Single-player,Violent,13,28,1,0,0-20000,2.99
789910,Planet of the Apes: Last Frontier,8/24/2018,1,Imaginati Studios,The Imaginarium,1,0,0,adult,Single-player,Violent,35,49,17,0,0-20000,15.99
546150,Primordian,1/19/2018,1,Stonepunk Studios,Stonepunk Studios,1,0,0,adult,Single-player,Action,0,76,20,0,0-20000,15.49
797040,Reboant - Endless Dawn,4/13/2018,1,"Darklord Ltd., China","Darklord Ltd., China",1,0,0,adult,Single-player,Action,11,11,16,0,0-20000,5.79
252490,Rust,2/8/2018,1,Facepunch Studios,Facepunch Studios,1,1,0,adult,Multi-player,Action,48,220370,53709,9352,5000000-10000000,27.79
958480,Seed of the Dead,12/14/2018,1,TeamKRAMA,Eroge Japan,1,0,0,adult,Single-player,Action,0,281,55,0,0-20000,11.39
750920,Shadow of the Tomb Raider,9/14/2018,1,Eidos-Montréal,Square Enix,1,0,0,adult,Single-player,Action,99,10832,4408,672,500000-1000000,44.99
928520,Story of Eve - A Hero's Study,10/16/2018,1,SmallSqurriel,SmallSqurriel,1,0,0,adult,Single-player,Indie,18,66,10,0,0-20000,2.09
599080,The Blackout Club,10/30/2018,1,Question,Question,1,0,0,adult,Single-player,Action,14,461,58,0,20000-50000,15.49
611670,The Elder Scrolls V: Skyrim VR,4/2/2018,1,Bethesda Game Studios,Bethesda Softworks,1,0,0,adult,Single-player,RPG,75,2352,457,140,100000-200000,39.99
242760,The Forest,4/30/2018,1,Endnight Games Ltd,Endnight Games Ltd,1,0,0,adult,Single-player,Action,45,110460,8881,2417,2000000-5000000,15.49
841460,The Great C,10/8/2018,1,Secret Location Inc.,Secret Location Inc.,1,0,0,adult,Single-player,Adventure,0,105,11,0,0-20000,4.79
790540,THE QUIET MAN™,11/1/2018,1,Square Enix,Square Enix,1,0,0,adult,Single-player,Action,13,118,236,0,0-20000,11.99
862480,The Spiral Scouts,7/12/2018,1,Cantaloupe Kids,Cantaloupe Kids,1,1,0,adult,Single-player,Adventure,32,210,11,0,50000-100000,7.19
961640,The Tower of Five Hearts,11/14/2018,1,TsukiWare,MangaGamer,1,1,1,adult,Single-player,Indie,0,16,0,0,0-20000,11.39
792670,The Woods,5/31/2018,1,Moonware Games,Moonware Games,1,0,0,adult,Single-player,Action,0,1,7,0,0-20000,3.99
775270,They have HORNS,2/14/2018,1,Paul Piepenhagen,Paul Piepenhagen,1,0,0,adult,Single-player,Violent,0,8,0,0,0-20000,2.09
825300,To Trust an Incubus,11/22/2018,1,Yamila Abraham,Y Press Games,1,1,1,adult,Single-player,Simulation,50,43,5,0,0-20000,15.49
968540,Too Hot!,12/15/2018,1,House of Mallows,House of Mallows,1,0,0,adult,Single-player,Adventure,0,2,2,0,0-20000,2.89
876340,VR Slots 3D,8/30/2018,1,Belka VR,Belka VR,1,0,0,adult,Single-player,Casual,0,10,2,0,0-20000,0
638970,Yakuza 0,8/1/2018,1,SEGA,SEGA,1,0,0,adult,Single-player,Action,55,9023,1343,1255,200000-500000,14.99
976340,You Can(Not) Survive,12/12/2018,1,DAX Entertainment,DAX Entertainment,1,0,0,adult,Single-player,Action,89,18,3,0,0-20000,3.99
904860,25 Cadre of Death,10/22/2018,1,indie_games_studio,indie_games_studio,1,0,1,parental_advisory,Single-player,Violent,0,19,10,0,0-20000,4.79
769730,Awkward,6/4/2018,1,Snap Finger Click,Snap Finger Click,1,0,1,parental_advisory,Single-player,Casual,32,11,4,0,0-20000,9.99
941580,Bad Day Betsy,9/24/2018,1,The DF Team,"Zero Brain, LLC",1,0,1,parental_advisory,Single-player,Action,0,0,1,0,0-20000,2.89
302670,Call to Arms,4/27/2018,1,Digitalmindsoft,Digitalmindsoft,1,0,0,parental_advisory,Single-player,Action,84,5787,2144,2550,500000-1000000,0
939000,Crisis VRigade,9/27/2018,1,Sumalab,Sumalab,1,0,0,parental_advisory,Single-player,Action,0,72,14,0,0-20000,4.79
877730,Deadly Silence,8/1/2018,1,Electrical Eagle,Electrical Eagle,1,1,1,parental_advisory,Single-player,Action,0,3,3,0,0-20000,7.19
631510,Devil May Cry HD Collection,3/13/2018,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1,0,0,parental_advisory,Single-player,Action,99,1217,211,125,50000-100000,24.99
934550,Duck Hunting Challenge,12/17/2018,1,Collision Studios,Boombox,1,0,0,parental_advisory,Single-player,Action,20,1,0,0,0-20000,7.19
415590,Earthfall,7/12/2018,1,Holospark,Holospark,1,0,0,parental_advisory,Single-player,Action,86,1171,592,85,50000-100000,23.79
570710,Extinction,4/9/2018,1,Iron Galaxy,Modus Games,1,0,0,parental_advisory,Single-player,Violent,27,34,92,0,0-20000,29.99
546900,Fear Effect Sedna,3/6/2018,1,Sushee,Square Enix,1,0,0,parental_advisory,Single-player,Action,24,40,46,0,0-20000,15.99
637650,FINAL FANTASY XV WINDOWS EDITION,3/6/2018,1,Square Enix,Square Enix,1,0,0,parental_advisory,Single-player,RPG,97,13789,4046,851,500000-1000000,34.99
648600,FINAL FANTASY XV WINDOWS EDITION MOD ORGANIZER,6/7/2018,1,Square Enix,Square Enix,1,0,0,parental_advisory,Single-player,Free to Play,0,12,14,0,20000-50000,0
323190,Frostpunk,4/24/2018,1,11 bit studios,11 bit studios,1,0,0,parental_advisory,Single-player,Simulation,75,22952,3202,1084,1000000-2000000,24.99
805610,Gulman 5,5/9/2018,1,Aleksandr Serzhantov,Aleksandr Serzhantov,1,0,0,parental_advisory,Single-player,Action,5,36,4,0,0-20000,4.79
923690,Hacker.exe,9/14/2018,1,LinkUp Games,LinkUp Games,1,1,0,parental_advisory,Single-player,Action,12,4,5,0,0-20000,6.19
860950,Mark of the Ninja: Remastered,10/9/2018,1,Klei Entertainment,Klei Entertainment ,1,1,1,parental_advisory,Single-player,Action,38,802,47,162,50000-100000,15.49
543900,METAL GEAR SURVIVE,2/21/2018,1,Konami Digital Entertainment,Konami Digital Entertainment,1,0,0,parental_advisory,Single-player,Violent,51,2213,1232,1649,100000-200000,34.99
828410,OniBushi VR,4/13/2018,1,CentVire,CentVire,1,0,0,parental_advisory,Single-player,Violent,0,2,11,0,0-20000,7.19
646050,Past Cure,2/23/2018,1,Phantom 8 Studio,Phantom 8 Studio,1,0,0,parental_advisory,Single-player,Action,13,20,32,0,0-20000,24.99
847600,Rapid,5/13/2018,1,SEG Interactive,Tzilum Productions,1,0,0,parental_advisory,Single-player,Action,0,0,2,0,0-20000,2.69
667720,Red Faction Guerrilla Re-Mars-tered,7/3/2018,1,Volition,THQ Nordic,1,0,0,parental_advisory,Single-player,Gore,57,1072,318,168,100000-200000,14.99
789290,RPG Merchant,2/14/2018,1,Skyward Digital,Skyward Digital,1,0,0,parental_advisory,Single-player,Simulation,0,13,3,0,0-20000,7.99
765180,SCP-087: Recovered document,1/1/2018,1,Korovkin Nikita,Korovkin Nikita,1,0,0,parental_advisory,Single-player,Action,0,33,24,0,0-20000,3.99
585450,Shadows: Awakening,8/31/2018,1,Games Farm,Kalypso Media Digital,1,0,0,parental_advisory,Single-player,Action,45,534,164,67,20000-50000,34.99
907770,STONE,9/21/2018,1,Convict Games,Convict Games,1,1,0,parental_advisory,Single-player,Adventure,13,34,12,0,0-20000,7.99
847370,Sunset Overdrive,11/16/2018,1,Insomniac Games,Microsoft Studios,1,0,0,parental_advisory,Single-player,Action,80,2421,274,300,50000-100000,14.99
749370,The Perfect Sniper,1/21/2018,1,Sinn Studio Inc.,Sinn Studio Inc.,1,0,0,parental_advisory,Single-player,Violent,18,13,12,0,0-20000,13.49
762380,World Apart,1/19/2018,1,Eutopia Studios,Eutopia Studios,1,0,0,parental_advisory,Single-player,Action,8,7,4,0,0-20000,1.69
817130,WWE 2K19,10/8/2018,1,Visual Concepts,2K,1,0,0,parental_advisory,Single-player,Simulation,47,648,446,0,20000-50000,39.99
640760,Code51:Mecha Arena,8/28/2018,1,SmellyRiver,SmellyRiver,1,0,0,parental_advisory,Single-player,Action,37,25,4,0,0-20000,15.49
989140,Damnaze,12/28/2018,1,INGO.WT,INGO.WT,1,0,0,parental_advisory,Single-player,Adventure,0,3,0,0,0-20000,3.99
871950,DERE EVIL .EXE,7/3/2018,1,Darius Immanuel D. Guerrero,"AppSir, Inc.",1,0,0,parental_advisory,Single-player,Action,0,161,18,0,0-20000,0.79
742120,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,9/4/2018,1,Square Enix,Square Enix,1,0,0,parental_advisory,Single-player,RPG,58,3663,281,2622,100000-200000,39.99
782020,Endless Crusade,5/3/2018,1,"Beijing Omnicity Technology Co., Ltd.","Beijing Omnicity Technology Co., Ltd.",1,0,0,parental_advisory,Single-player,Action,0,3,5,0,0-20000,3.99
777620,Little fight,2/20/2018,1,FunnyNetWork,FunnyNetWork,1,0,0,parental_advisory,Multi-player,Strategy,0,0,2,0,0-20000,2.89
807860,Mafia Gambling,3/11/2018,1,Gamenesis,Gamenesis,1,1,0,parental_advisory,Single-player,Casual,13,5,3,0,0-20000,2.89
757810,Mahlone One,1/23/2018,1,VM World Studio,VM World Studio,1,0,0,parental_advisory,Single-player,Free to Play,0,74,83,0,50000-100000,0
788770,Meteor 60 Seconds!,2/26/2018,1,Avocavo,Avocavo,1,1,0,parental_advisory,Single-player,Action,0,2271,88,41,200000-500000,0
807820,Mystery Village: Shards of the Past,3/16/2018,1,GameChain,GameChain,1,1,0,parental_advisory,Single-player,Action,20,0,3,0,20000-50000,2.89
918590,Ocean Nomad: Survival on Raft,9/3/2018,1,UniSoft Games,UniSoft Games,1,0,0,parental_advisory,Single-player,Action,0,3,7,0,0-20000,2.09
845490,RESEQUENCED,8/30/2018,1,Based On The Play,Based On The Play,1,0,0,parental_advisory,Single-player,Action,47,18,5,0,0-20000,5.79
982480,Supreme Casino City,12/11/2018,1,Ziopops Limited,Ziopops Limited,1,0,0,parental_advisory,Single-player,Simulation,0,0,3,0,0-20000,3.99
525240,LOST SPHEAR,1/23/2018,1,Tokyo RPG Factory,Square Enix,1,0,0,parental_advisory,Single-player,RPG,50,67,40,0,0-20000,34.99
637670,Secret of Mana,2/15/2018,1,Square Enix,Square Enix,1,0,0,parental_advisory,Single-player,Action,37,936,518,244,50000-100000,29.99
630140,Sky Clash: Lords of Clans 3D,9/5/2018,1,AIVIK LLC,Absolutist Ltd.,1,1,0,parental_advisory,Multi-player,Free to Play,18,44,20,0,0-20000,0
692690,Dance Collider,9/27/2018,1,emergeWorlds,emergeWorlds,1,0,0,parental_advisory,Single-player,Action,17,21,4,0,0-20000,15.49
514870,Fat City,10/22/2018,1,Heavy Iron Studios,"Heavy Iron Studios, Inc.",1,0,0,parental_advisory,Single-player,Casual,19,2,0,0,0-20000,7.19
888560,Forest Rabbit,7/27/2018,1,Velaris Studio,Velaris Studio,1,1,0,parental_advisory,Single-player,Indie,0,2,1,0,0-20000,1.69
684210,7,1/26/2018,1,Zac,Zac,1,0,0,universal,Single-player,Adventure,10,86,22,0,20000-50000,0
938520,21,9/28/2018,1,Softwaves Mini,Softwaves Dist.,1,0,0,universal,Single-player,Adventure,0,2,6,0,0-20000,0.79
913850,103,12/21/2018,1,Dystopia Interactive,Dystopia Interactive,1,1,1,universal,Single-player,Adventure,5,41,8,0,0-20000,7.19
696860,900,11/30/2018,1,Barnaque,Barnaque,1,1,1,universal,Single-player,Action,0,2,1,0,0-20000,1.59
876840,999,6/29/2018,1,Tydecon Games,Tydecon Games,1,0,0,universal,Single-player,Casual,126,5,0,0,0-20000,6.99
942050,2048,10/31/2018,1,Lucas Alexander Visual Arts,Lucas Alexander Visual Arts,1,0,1,universal,Single-player,Casual,15,4,0,0,0-20000,4.49
987850,2084,12/13/2018,1,Feardemic,Feardemic,1,0,1,universal,Single-player,Action,20,39,16,0,0-20000,7.19
952250,Sep-99,10/10/2018,1,98DEMAKE,98DEMAKE,1,1,1,universal,Single-player,Indie,0,778,92,0,50000-100000,0
866510,!AnyWay!,6/6/2018,1,GQG DEVELOPER,GQG PUBLISHER,1,0,1,universal,Single-player,Adventure,4997,46,22,213,50000-100000,1.69
870990,!LABrpgUP!,6/13/2018,1,UPandQ,UPandQ,1,0,1,universal,Single-player,Adventure,2021,11,8,0,0-20000,0.79
782100,#CuteSnake,3/15/2018,1,Sunrise9,Sunrise9,1,0,1,universal,Single-player,Casual,147,15,18,0,0-20000,0.79
834180,#CuteSnake 2,4/20/2018,1,Sunrise9,Sunrise9,1,0,1,universal,Single-player,Casual,154,14,5,0,0-20000,0.79
841860,#Have A Sticker,4/26/2018,1,Red Dolphin Games,VT Publishing,1,0,1,universal,Single-player,Casual,5000,59,31,0,20000-50000,0
779420,#WarGames,3/14/2018,1,Eko,Eko,1,1,1,universal,Single-player,Adventure,55,42,32,0,0-20000,2.09
759000,.projekt,3/17/2018,1,Kyrylo Kuzyk,Kyrylo Kuzyk,1,1,1,universal,Single-player,Casual,6,59,7,0,0-20000,3.99
968170,[it's possible],11/19/2018,1,Alscenic,current.gen Studios,1,0,1,universal,Single-player,Casual,15,10,0,0,0-20000,1.7
671690,[MARS] Total Warfare,12/1/2018,1,TCR,TCR,1,0,1,universal,Online Multi-Player,Action,0,40,16,0,0-20000,0
882750,1 HIT KILL,7/19/2018,1,DV,David Vecchione,1,0,1,universal,Single-player,Action,0,1,0,0,0-20000,2.89
852190,10 seconds,7/16/2018,1,Zynk Software,Zynk Software,1,0,1,universal,Single-player,Action,0,3,0,0,0-20000,3.99
856260,100 Chests,6/15/2018,1,William Brown,William Brown,1,0,1,universal,Single-player,Adventure,12,3,4,0,0-20000,2.09
796580,100 Seconds,3/12/2018,1,Cien Studio,Cien Studio,1,0,1,universal,Single-player,Casual,10,0,1,0,0-20000,3.99
873180,1000 Stages,7/13/2018,1,ltaoist,ltaoist,1,0,1,universal,Single-player,Adventure,6,1,3,0,0-20000,1.69
970900,1001 Jigsaw. Home Sweet Home,12/10/2018,1,Creobit,8floor,1,1,1,universal,Single-player,Casual,0,1,0,0,0-20000,3.99
735580,11-11 Memories Retold,11/8/2018,1,Aardman Animations,BANDAI NAMCO Entertainment Europe,1,0,1,universal,Single-player,Adventure,50,133,9,0,0-20000,19.99
663210,12 Labours of Hercules VII: Fleecing the Fleece (Platinum Edition),1/12/2018,1,Jetdogs Studios,Jetdogs Studios,1,1,1,universal,Single-player,Casual,24,55,2,0,0-20000,1.99
938310,12 Labours of Hercules VIII: How I Met Megara,12/26/2018,1,Jetdogs Studios,Jetdogs Studios,1,1,1,universal,Single-player,Adventure,24,18,2,0,0-20000,2.09
856350,15 seconds,5/31/2018,1,Studio48,Studio48,1,0,1,universal,Single-player,Action,0,11,5,0,0-20000,0.79
864940,"150,000 B.C.",5/30/2018,1,carrot,Garage Games,1,0,1,universal,Single-player,Adventure,5,70,172,0,20000-50000,0.79
855320,18 Floors,7/4/2018,1,Aoga Tech,Winking Skywalker,1,0,1,universal,Single-player,Adventure,14,10,8,0,0-20000,11.39
513490,1943 Berlin Blitz,10/3/2018,1,BBC Media Applications Technologies Limited,BBC Media Applications Technologies Limited,1,0,1,universal,Single-player,Indie,0,120,7,0,20000-50000,0
616750,1943 Deadly Desert,5/15/2018,1,HandyGames,HandyGames,1,0,1,universal,Single-player,Indie,31,9,1,0,0-20000,7.19
821720,20.000 Leagues Under The Sea - Captain Nemo,3/15/2018,1,Mzonestudio,Microïds Indie,1,0,1,universal,Single-player,Adventure,0,2,1,0,0-20000,1.69
855010,270 | Two Seventy US Election,5/31/2018,1,Political Games LLC,Political Games LLC,1,1,1,universal,Single-player,Strategy,0,39,15,0,0-20000,0
822550,2DGameManias Taken,5/4/2018,1,2DGameMania,2DGameMania,1,0,1,universal,Single-player,Action,16,4,3,0,0-20000,1.69
864190,"3, 2, 1, SURVIVE !",6/2/2018,1,Yannstr,Yannstr,1,0,1,universal,Single-player,Action,0,2,0,0,0-20000,0.79
817770,30 Seconds To Jail,5/4/2018,1,Egor Magurin,Indovers Studio,1,1,1,universal,Single-player,Casual,13,33,12,0,0-20000,2.09
675170,303 Squadron: Battle of Britain,8/31/2018,1,Atomic Jelly,Movie Games S.A.,1,0,1,universal,Single-player,Action,48,96,48,0,0-20000,14.99
723020,3571 The Game,1/1/2018,1,FRAPPA STUDIO,FRAPPA STUDIO,1,1,1,universal,Single-player,Action,0,0,5,0,0-20000,10.29
883100,360 No Scope Arena,9/6/2018,1,Tasty Delicious Games,Tasty Delicious Games,1,0,1,universal,Online Multi-Player,Action,0,349,42,0,0-20000,0.99
504920,39 Days to Mars,4/25/2018,1,It's Anecdotal,It's Anecdotal,1,1,1,universal,Single-player,Adventure,23,89,12,224,0-20000,11.39
943960,3Buttons,10/25/2018,1,John Segerstedt,Indie,1,1,1,universal,Single-player,Free to Play,6,15,11,0,0-20000,0
870020,3D Gravity Rocket,6/12/2018,1,Laush Dmitriy Sergeevich,Laush Stuido,1,0,1,universal,Single-player,Casual,12,2,0,0,0-20000,1.69
686620,3D Mahjong worlds,4/16/2018,1,PixelBrain Studio,PixelBrain Studio,1,0,1,universal,Single-player,Casual,18,6,3,0,0-20000,5.79
772160,4 for the Money Demo,1/17/2018,1,Lost Marble,Lost Marble,1,0,1,universal,Single-player,Action,0,42,3,0,20000-50000,0
778080,40 Winks,10/22/2018,1,Eurocom,Piko Interactive LLC,1,0,1,universal,Single-player,Action,0,3,7,0,0-20000,10.29
648580,428: Shibuya Scramble,9/4/2018,1,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",1,0,1,universal,Single-player,Adventure,27,82,2,0,0-20000,39.99
416700,5 Minutes Rage,3/2/2018,1,Indomitus Games,Indomitus Games,1,0,1,universal,Single-player,Action,22,15,4,0,0-20000,4.99
799080,5 Star Hawaii Resort - Your Resort,3/9/2018,1,rokaplay,rokaplay,1,0,1,universal,Single-player,Casual,15,1,1,0,0-20000,6.19
646270,60 Parsecs!,9/18/2018,1,Robot Gentleman,Robot Gentleman,1,1,1,universal,Single-player,Adventure,40,432,92,465,20000-50000,10.99
792100,7 Billion Humans,8/23/2018,1,Tomorrow Corporation,Tomorrow Corporation,1,1,1,universal,Single-player,Indie,19,450,30,264,20000-50000,11.39
788500,7 Soccer: a sci-fi soccer tale,2/14/2018,1,"Mario D'Eliso ""Elis-D""",Mario D'Eliso,1,0,1,universal,Single-player,Action,15,1,2,0,0-20000,5.19
878470,70 Seconds Survival,8/8/2018,1,Tero Lunkka,Tero Lunkka,1,0,1,universal,Single-player,Casual,0,9,7,0,0-20000,1.69
856980,7-in-1 Brain Sharpness Bundle,5/17/2018,1,ALEKSANDER CHEPAIKIN,ALEKSANDER CHEPAIKIN,1,1,1,universal,Single-player,Indie,10,8,4,0,0-20000,10.29
961210,7-minute HOP,11/9/2018,1,VladProduction,VladProduction,1,0,1,universal,Single-player,Adventure,0,1,3,0,0-20000,0.79
806580,7th Deep,3/8/2018,1,G. A. Williams,G. A. Williams,1,0,1,universal,Single-player,RPG,0,11,1,0,0-20000,2.09
996450,7th Sea: A Pirate's Pact,12/14/2018,1,Choice of Games,Choice of Games,1,1,1,universal,Single-player,Adventure,27,7,1,0,0-20000,4.79
818530,8 Ball,3/25/2018,1,One Buck,One Buck,1,0,1,universal,Single-player,Adventure,15,10,7,0,0-20000,0.79
982860,8 Queens,11/29/2018,1,Sly,SlyGames,1,1,1,universal,Single-player,Casual,1,1,1,0,0-20000,3.98
772470,8-in-1 IQ Scale Bundle,1/5/2018,1,ALEKSANDER CHEPAIKIN,ALEKSANDER CHEPAIKIN,1,1,1,universal,Single-player,Indie,2,25,2,0,0-20000,11.39
839920,9 Balls,4/20/2018,1,CasGames,CasGames,1,0,1,universal,Single-player,Casual,0,8,23,0,0-20000,0.79
879310,'90s Football Stars,12/11/2018,1,Purple Tree,Klabater,1,1,1,universal,Single-player,Action,10,12,8,0,0-20000,7.19
959750,A Book of Beasts and Buddies,11/14/2018,1,Squiddershins,Squiddershins,1,0,1,universal,Single-player,Adventure,0,167,3,0,20000-50000,0
708100,A Boy and His Beard,2/9/2018,1,Pixel Island,Pixel Island,1,0,1,universal,Single-player,Action,0,36,15,0,0-20000,0
975220,A Business Power,12/2/2018,1,S.A. DigiWorks,S.A. DigiWorks,1,0,1,universal,Single-player,Simulation,0,0,2,0,0-20000,3.99
717610,A Case of Distrust,2/8/2018,1,The Wandering Ben,Serenity Forge,1,1,1,universal,Single-player,Adventure,10,71,9,0,0-20000,11.39
976970,A Cheesy Game,11/29/2018,1,Levhi,Levhi,1,0,1,universal,Single-player,Casual,12,3,0,0,0-20000,3.99
717120,A Collection of Bad Moments,1/12/2018,1,Sky Trail Ltd,Sky Trail Ltd,1,0,1,universal,Single-player,Action,9,14,7,0,0-20000,2.89
506560,A Divided Light,4/3/2018,1,Pinky Up Games,Pinky Up Games,1,1,1,universal,Single-player,Casual,9,3,0,0,0-20000,1.69
709140,A Dream For Aaron,3/9/2018,1,Vidas Salavejus,Vidas Salavejus,1,0,1,universal,Single-player,Action,31,11,4,0,0-20000,5.59
793220,A Fine Mess,2/23/2018,1,Santima Games,Santima Games,1,1,1,universal,Single-player,Adventure,9,11,3,0,0-20000,2.09
963830,A Flappy Bird in Real Life,10/31/2018,1,Cardinal Game Studio,Cardinal Game Studio,1,1,1,universal,Single-player,Casual,16,2,0,0,0-20000,1.69
958320,A Front Too Far: Normandy,12/20/2018,1,Marco Amadei,Corvostudio di Amadei Marco,1,1,1,universal,Single-player,Action,13,49,23,0,0-20000,4.99
927990,A Game About,11/6/2018,1,byolivierb,byolivierb,1,1,1,universal,Single-player,Free to Play,5,408,38,0,50000-100000,0
890740,A Gentlemanly Adventure,11/2/2018,1,Not Chicken Games,Not Chicken Games,1,0,1,universal,Single-player,Adventure,20,4,0,0,0-20000,5.79
585190,A Gummy's Life,10/2/2018,1,EP Games®,EP Games®,1,1,1,universal,Multi-player,Action,0,56,12,0,0-20000,11.39
643950,A Handful of Keflings,1/25/2018,1,NinjaBee,NinjaBee,1,0,1,universal,Single-player,Simulation,20,4,7,0,0-20000,15.49
766280,A Light in the Dark,6/15/2018,1,CreSpirit,Sekai Project,1,1,1,universal,Single-player,Violent,12,799,45,310,0-20000,11.39
864380,A Lot Like Love,6/18/2018,1,KateGamesStudio,Dagestan Technology,1,0,1,universal,Single-player,Adventure,0,2,10,0,0-20000,3.99
936000,A Mars Adventure: Redturtle,9/26/2018,1,QOVAQ,QOVAQ,1,0,1,universal,Single-player,Adventure,0,1,1,0,0-20000,5.79
772680,a Museum of Dubious Splendors,3/6/2018,1,Studio Oleomingus,The Irregular Corporation,1,1,1,universal,Single-player,Adventure,0,72,22,0,0-20000,0
827540,A Penny For Some Motivation,4/10/2018,1,LJumpStarTD,LJumpStarTD,1,0,1,universal,Single-player,Adventure,2,1,1,0,0-20000,0.79
899190,A Piece of Wish upon the Stars,11/4/2018,0,Lingtan Studio,Lingtan Studio,1,0,1,universal,Single-player,Adventure,20,63,4,0,0-20000,6.19
860930,A Quiet Mind,6/4/2018,1,Eitan Prince,Eitan Prince,1,1,1,universal,Single-player,Adventure,0,1,1,0,0-20000,1.69
744810,A Raven Monologue,1/11/2018,1,Mojiken Studio,Toge Productions,1,1,1,universal,Single-player,Casual,0,1405,69,8,100000-200000,0
792370,A Rite from the Stars,7/18/2018,1,Risin' Goat,Phoenix Online Publishing,1,1,1,universal,Single-player,Adventure,48,14,1,0,0-20000,11.39
886390,A Roll-Back Story,8/30/2018,1,iQuantile,iQuantile,1,0,1,universal,Single-player,Adventure,8,10,4,0,0-20000,3.99
